img,ratio
1.jpg,0.15432098765432098
10.jpg,0.12254901960784313
100.jpg,0.12254901960784313
1000.jpg,0.45592705167173253
10000.jpg,0.25862068965517243
10001.jpg,0.46875
10002.jpg,0.06944444444444445
10003.jpg,0.5033557046979866
10004.jpg,0.1953125
10005.jpg,0.08680555555555555
10006.jpg,0.2461033634126333
10007.jpg,0.146484375
10008.jpg,0.1953125
10009.jpg,0.25
1001.jpg,0.23148148148148148
10010.jpg,0.11574074074074074
10011.jpg,0.10533707865168539
10012.jpg,0.40053404539385845
10013.jpg,0.5555555555555556
10014.jpg,0.0946969696969697
10015.jpg,0.5617977528089888
10016.jpg,0.13020833333333334
10017.jpg,0.4444444444444444
10018.jpg,0.37641154328732745
10019.jpg,0.15495867768595042
1002.jpg,0.15781167806417676
10020.jpg,0.29296875
10021.jpg,0.4166666666666667
10022.jpg,0.08680555555555555
10023.jpg,0.17391304347826086
10024.jpg,0.11574074074074074
10025.jpg,0.49019607843137253
10026.jpg,0.12919896640826872
10027.jpg,0.3105590062111801
10028.jpg,0.1953125
10029.jpg,0.46875
1003.jpg,0.15495867768595042
10030.jpg,0.12254901960784313
10031.jpg,0.6493506493506493
10032.jpg,0.14285714285714285
10033.jpg,0.6493506493506493
10034.jpg,0.2332814930015552
10035.jpg,0.46875
10036.jpg,0.14285714285714285
10037.jpg,0.3058103975535168
10038.jpg,0.46875
10039.jpg,0.12254901960784313
1004.jpg,0.1668520578420467
10040.jpg,0.46875
10041.jpg,0.46875
10042.jpg,0.21739130434782608
10043.jpg,0.3125
10044.jpg,0.15174506828528073
10045.jpg,0.09765625
10046.jpg,0.2777777777777778
10047.jpg,0.146484375
10048.jpg,0.125
10049.jpg,0.12254901960784313
1005.jpg,0.12254901960784313
10050.jpg,0.10040160642570281
10051.jpg,0.12254901960784313
10052.jpg,0.15495867768595042
10053.jpg,0.4172461752433936
10054.jpg,0.6493506493506493
10055.jpg,0.15495867768595042
10056.jpg,0.07215007215007214
10057.jpg,0.15495867768595042
10058.jpg,0.15
10059.jpg,0.2777777777777778
1006.jpg,0.5
10060.jpg,0.3184713375796178
10061.jpg,0.5555555555555556
10062.jpg,0.4444444444444444
100622.jpg,0.14591439688715954
100623.jpg,0.8333333333333334
100624.jpg,0.3
100625.jpg,0.20080321285140562
100626.jpg,0.4172461752433936
100627.jpg,0.5
100628.jpg,0.1124859392575928
100629.jpg,0.146484375
10063.jpg,0.1953125
100630.jpg,0.1953125
100631.jpg,0.16675931072818231
100632.jpg,0.12254901960784313
100633.jpg,0.13908205841446453
100634.jpg,0.5
100635.jpg,0.2608695652173913
100636.jpg,0.23094688221709006
100637.jpg,0.23715415019762845
